Date,Price
2019/6/14,1288.826651
2019/6/17,1338.441285
2019/6/18,1303.826424
2019/6/19,1299.211109
2019/6/20,1255.365619
2019/6/21,1249.596475
2019/6/24,1255.365619
2019/6/25,1234.596702
2019/6/26,1218.443101
2019/6/27,1227.67373
2019/6/28,1156.136351
2019/7/1,1091.521944
2019/7/2,1487.285186
2019/7/3,1568.053195
2019/7/4,1533.438334
2019/7/5,1559.976394
2019/7/8,1580.74531
2019/7/9,1562.284051
2019/7/10,1506.900274
2019/7/11,1514.977075
2019/7/12,1510.36176
2019/7/15,1562.284051
2019/7/16,1514.977075
2019/7/17,1509.207931
2019/7/18,1496.515816
2019/7/19,1501.131131
2019/7/22,1467.670098
2019/7/23,1483.8237
2019/7/24,1452.670325
2019/7/25,1435.362895
2019/7/26,1421.516951
2019/7/29,1442.285867
2019/7/30,1490.746672
2019/7/31,1501.131131
2019/8/1,1476.900728
2019/8/2,1461.900955
2019/8/5,1514.977075
2019/8/6,1476.900728
2019/8/7,1509.207931
2019/8/8,1498.823473
2019/8/9,1490.746672
2019/8/12,1489.592844
2019/8/13,1473.439242
2019/8/14,1472.285413
2019/8/15,1466.51627
2019/8/16,1464.208612
2019/8/19,1459.593298
2019/8/20,1478.054557
2019/8/21,1457.28564
2019/8/22,1442.285867
2019/8/23,1386.90209
2019/8/26,1352.287229
2019/8/27,1331.518313
2019/8/28,1343.0566
2019/8/29,1292.288137
2019/8/30,1292.288137
2019/9/2,1356.902544
2019/9/3,1426.132266
2019/9/4,1519.59239
